"","X","date","inflation","m2","unemployment","tb3m","tb6m","reserves","persincome","indprod","persconsind","pcomodind","m1","deposits","avehourearn","wages","houseunits","tresu10y","mbase","housesalesprice","dispincome","loansbanks","IntDiscUS","housesupply","Linflation","Lm2","Lunemployment","Ltb3m","Ltb6m","Lreserves","Lpersincome","Lindprod","Lpersconsind","Lpcomodind","Lm1","Ldeposits","Lavehourearn","Lwages","Lhouseunits","Ltresu10y","Lmbase","Lhousesalesprice","Ldispincome","Lloansbanks","LIntDiscUS","Lhousesupply","coraveearn.gdp","corhouseuni.gdp","cormbase.gdp","cortres10y.gdp","corwages.gdp","corun.gdp","corm2.gdp","corInf.gdp","cortb3m.gdp","cortb6m.gdp","correserves.gdp","cordisc.gdp","cordispinc.gdp","corhouseprice.gdp","corhousesupp.gdp","corloans.gdp","corcomind.gdp","cordeposits.gdp","corm1.gdp","corperscons.gdp","corpersinc.gdp"
"358",360,1993-12-01,146.3,3472.4,8477,3.06,3.23,2.96,5885.9,69.0884,73.934,118.6,321.6,385.4,11.18,3264.2,1533,5.77,398638,125000,26827,583.6383,3,4.5,0.00237322486218787,0.00122744118309689,-0.00340122731214435,-0.0118845034787589,-0.00993770151982071,-0.0168004298217115,0.00501297214448411,0.00301788584315284,0.00196985190876605,0.000959530675746649,0.00773689238287067,0.0119075456445293,0.00206274932556061,0.00525242068063251,0.01463299640057,-0.0085838858343345,0.00719521524143111,0.00101219552371012,0.0018498976908589,-0.00240499962593273,-0.0131171141600014,-0.0133529956364488,0.98426516752559,0.148931939105962,0.975257443508093,-0.128998748289917,0.982100456019907,-0.87024060383306,0.9191815585755,0.988931197676033,0.639484881116659,0.527975715613148,0.685745999359201,0.826468118510812,0.967939508215445,0.841009748948738,0.098789494405231,0.980819607213501,0.971685625808396,0.759986031729495,0.98072944626564,0.991202289786613,0.987533404528496
"359",361,1994-01-01,146.3,3472.4,8630,2.98,3.15,3.05,5772.1,69.3476,73.958,119.1,324.9,386.2,11.21,3142.4,1272,5.75,397786,126000,26307,587.4263,3,5.9,0.00234308622314024,0.0011200639409518,-0.00303917772176917,-0.0101282402589595,-0.00857716892517286,-0.011609366055803,0.00391383676374798,0.00341431840637429,0.00192846254098226,0.00124281333845736,0.00792892327441323,0.0110550195066965,0.00213526437202644,0.00353492570675118,0.00326965064339565,-0.00837445212555477,0.00738851395345101,0.00203292350705967,0.000628762090953527,-0.00181507580792917,-0.00642294499280243,0.00526223855517884,0.98552491753012,0.178279545214303,0.975485478416716,-0.237446266557727,0.993521461731004,-0.842658915934074,0.932081530704968,0.989535620937177,0.562636888020425,0.435854735135938,0.62477093104472,0.803516089216545,0.985641429241907,0.8438542611023,-0.100704134240695,0.980453409051296,0.969967458194567,0.77329812514285,0.981096302789793,0.991120522233563,0.991808776765042
"360",362,1994-02-01,146.7,3473.2,8583,3.25,3.43,3.25,5793,69.3617,74.127,119.3,328.1,388.3,11.25,3148.3,1337,5.97,397926,129900,26344,588.0051,3,5,0.00236656659971387,0.000899795353765572,-0.00402726790145673,-0.00695072376074956,-0.00566996519597172,-0.00927199905299979,0.00373192945781538,0.00313261880081639,0.00191984237528553,0.00116879741656273,0.00808983393503989,0.0103765008629145,0.00220550263903196,0.0031038186314141,0.00280353111689987,-0.00860799646757973,0.0076423680118225,0.00428679360556838,0.000517229362651417,-0.00151023669976421,-0.00642294499280243,0.000841779471563303,0.98693193192147,0.0371568538886195,0.975746384480738,-0.335225399281889,0.993689825503342,-0.825435366358596,0.943012143498514,0.989794587869407,0.480792987069581,0.325077394468632,0.552946026515861,0.808457032876167,0.985079943852443,0.846125128969622,-0.196669749446653,0.980169386352,0.969774639681343,0.787282025897915,0.981757800016594,0.9909977472883,0.992107745587443
"361",363,1994-03-01,147.1,3477.6,8470,3.5,3.78,3.34,5825.1,70.0831,74.333,119.7,331.1,388,11.25,3167.8,1564,6.48,400752,132300,26403,594.8115,3,4.8,0.00232998036158312,0.000904766310061496,-0.00460591143332604,-0.00597840514490378,-0.0041911348710487,-0.00730462551282239,0.00378555210751134,0.00320013503889168,0.00193376983249945,0.00127236349417007,0.0082690960491338,0.00952647533813167,0.00208851613260704,0.00323439354785452,0.00779969736620053,-0.00631256965232007,0.00739323776360856,0.00406584701411935,0.000594430791757509,-0.000871019932516592,-0.00642294499280243,-0.00998636888605917,0.989646591625144,0.0149803343842301,0.972702662405484,-0.434644320664051,0.993910395267941,-0.807346479086592,0.95528572634312,0.989551026445925,0.37008112631608,0.174308544263748,0.45291890757355,0.708468055759072,0.983368878095456,0.856377856363501,-0.381909466288011,0.978613799287759,0.960005921687319,0.806398057370403,0.980888902954924,0.990247810030631,0.99211136593398
"362",364,1994-04-01,147.2,3478.8,8331,3.68,4.09,3.56,5887,70.4425,74.42,119.7,333.7,387.5,11.27,3216.4,1465,6.97,406948,129000,26384,600.5849,3,5.2,0.00226852949868136,0.000970600048669038,-0.00509669437984768,-0.000785128658394992,0.00230376929220917,-0.00194365369965771,0.00395116155174284,0.00311095709903612,0.00187050978459121,0.00120064804330455,0.00835018155323619,0.00906977758417127,0.00208471551704287,0.00378074522309298,0.0119772736269811,-0.00294239863391472,0.00834044250470289,0.00301336089915109,0.000487669418757219,-0.000266903136513304,-0.00642294499280243,-0.00665125606632849,0.990209686523324,0.125402185522457,0.97192052799835,-0.453231933982964,0.993897304053419,-0.806589789847361,0.963756519941874,0.987522804121538,0.264961333407396,0.041448877469509,0.359047277539659,0.551863535707447,0.982617914387388,0.885706452655381,-0.576771158243616,0.976889686372159,0.934640663429157,0.811082494702531,0.981240404360635,0.988524578908694,0.991456060443881
"363",365,1994-05-01,147.5,3488.2,7915,4.14,4.6,4.01,5910.8,70.824,74.528,119.9,336.8,385.6,11.29,3231.7,1526,7.18,407088,129900,26676,604.8743,3.24,5.3,0.00226378789653995,0.00109774903371955,-0.00866216740144029,0.00547763081501931,0.0085125193130304,0.00202253411249975,0.00384083933534307,0.00319881799010169,0.00187533938010768,0.000949007703773153,0.00847690508416573,0.00866494160915595,0.00208092871170216,0.00373379965445138,0.00953038500937327,-0.00120118132916574,0.0081779139678703,0.00580737937350887,0.000785205058355517,0.000181174683247927,-0.00321623494546375,-0.00516886036124912,0.990666080257706,0.192846064900322,0.972050802584174,-0.415764096803323,0.994500757874942,-0.818884355032315,0.970519863928908,0.985843461841736,0.145127185160526,-0.0789541627578167,0.263438042967769,0.363194764235598,0.982623596751638,0.894737198369837,-0.688899183574162,0.976609583837251,0.90719148793775,0.790114749293227,0.982463284270868,0.98745795833666,0.991277585032148
"364",366,1994-06-01,147.9,3476.7,7927,4.14,4.55,4.25,5914.4,71.2811,74.708,120.5,339.8,384.8,11.31,3225.7,1409,7.1,411591,133500,26597,609.0784,3.5,6.2,0.00225749651557468,0.00102397544213839,-0.00984593585035687,0.00513469335099783,0.00783550964595583,0.0051041677306051,0.00361650870273541,0.00345226333008075,0.00190223017005064,0.000873547019376845,0.00861958238785254,0.00852522626313745,0.00203844995665549,0.00349451285969612,0.00864481649626414,-0.000928543532893122,0.00831901869028269,0.0029081567473143,0.000532901668916323,0.000551538571602913,0,0.0042409455962476,0.990800906388842,0.267805892004244,0.973287900285506,-0.379190508026717,0.994864564040134,-0.82559183434114,0.976485830555372,0.983036634275086,0.0218069786028922,-0.161578588525779,0.166530362753299,0.155075313215763,0.9831527405112,0.877298352549914,-0.783910448336955,0.976440457251513,0.882774025289354,0.758450827307797,0.983917590167056,0.985188236553887,0.990684092320812
"365",367,1994-07-01,148.4,3485.2,7946,4.33,4.75,4.26,5944.3,71.3953,74.944,120.7,343.6,385.5,11.34,3246.8,1439,7.3,415010,124400,26591,616.4575,3.5,6.3,0.00227932674831162,0.00112203509564623,-0.00895011657464958,0.0124706918696864,0.0154292164854374,0.0112755901641514,0.00372761946420375,0.00315484350125395,0.00189668348266677,0.000977971690006685,0.00864790913424514,0.00811222893392642,0.00207152162623179,0.00372405581848456,0.00974157264334108,0.00271194235499527,0.00825461320100803,0.00220073149330894,0.000606094250690914,0.00117851988171162,0.00614608904619124,0.00720178386830878,0.99064396101848,0.297804068288454,0.974527937767777,-0.365616208007057,0.994838320858924,-0.829072131323163,0.979301900435804,0.980662861740583,-0.146720428475495,-0.285765735098089,0.0761757638480178,-0.0113873938542827,0.983281138949496,0.891419307190945,-0.814053560394706,0.976707854869261,0.854145284467112,0.733041847893404,0.985642764942479,0.983168387590528,0.990111784279278
"366",368,1994-08-01,149,3482.5,7933,4.48,4.88,4.47,5966.7,71.8011,75.111,121.2,345.4,385.7,11.36,3253.9,1450,7.24,415263,133300,26600,622.0575,3.76,6.1,0.00235857759256319,0.00102960665119419,-0.00875098750515901,0.0149412517447847,0.0174530951134638,0.0126444141730435,0.00367025406702385,0.00359546188889196,0.00193418689002704,0.00122096080704093,0.00844983728226933,0.00772873541749911,0.00202925582811124,0.00354371777466548,0.00699194662160263,0.00391949407846705,0.00799907677324452,0.0031817112965263,0.000532841181285049,0.00169686282798328,0.00940861119723722,0.00665125606632849,0.990321227763177,0.303485209805066,0.975406963999892,-0.358754490151865,0.994615321349015,-0.837194216766143,0.982258706867517,0.97719051423859,-0.305226133161812,-0.392757162573236,-0.0510287059332588,-0.219105544653611,0.983775816147572,0.888520394186312,-0.835770680674981,0.975943300683599,0.815448258251198,0.703155230429213,0.986359041546579,0.979704053700066,0.989251729139764
"367",369,1994-09-01,149.3,3482.7,7734,4.62,5.04,4.73,5998.7,72.0617,75.195,121,347.7,386.9,11.39,3273.3,1474,7.46,416866,129700,26682,624.9121,4,6,0.002353701903599,0.000891202578091536,-0.00978398063013541,0.0192600676629269,0.0221757005728045,0.0160226601228135,0.00400002364998094,0.00364424901171049,0.00191166584848435,0.00104608004712818,0.00830007489624807,0.00693220457198137,0.00213914600169814,0.00404591776942886,0.00905806221631711,0.00625572068807499,0.00765498438615679,0.00341282166461802,0.000920507555759157,0.00180547303340003,0.0119867530188242,0.00759673153308145,0.989848086252909,0.275259082266395,0.976271595628747,-0.345116407707492,0.99417027172136,-0.849494965387784,0.98391867786704,0.972840026664031,-0.44099204279208,-0.467884170156662,-0.179605664229207,-0.324770321217978,0.985500069001943,0.885105755809399,-0.861046590086481,0.974853757643867,0.776950364425912,0.702221484566812,0.987103428593257,0.974279101874228,0.988030889988748
"368",370,1994-10-01,149.4,3480.8,7632,4.95,5.39,4.76,6061.2,72.6829,75.322,120.9,350.3,385.6,11.42,3308.7,1450,7.74,418679,132000,26901,631.5743,4,5.6,0.00220479691675342,0.00070500387826374,-0.0086727902722766,0.0228569146562016,0.0238619945626156,0.0178685648646762,0.00448775144360917,0.00369744983963434,0.00183430795172509,0.000976334767392932,0.00826095684242489,0.0059608727739624,0.00213338017672482,0.00487599842261484,0.00638464842147897,0.00670201412863417,0.00748833683293052,0.00227034105350291,0.00157841177663613,0.00235473932915979,0.0119867530188242,0.00389691908378431,0.988702251753941,0.378167459277732,0.976558886170159,-0.323652619638705,0.993255838082408,-0.855983708396842,0.984373805800217,0.968463445499565,-0.599245720328906,-0.531392526367265,-0.292581077428528,-0.404720250387726,0.986443071869331,0.879544939440466,-0.886176812277558,0.974472410879432,0.741667900305202,0.642942785474077,0.987564790564628,0.969417197819319,0.986550926144546
"369",371,1994-11-01,149.8,3483.7,7375,5.29,5.72,5.29,6070.7,73.1379,75.469,121.5,353,384.6,11.45,3304.5,1511,7.96,423063,129900,26867,638.35,4.4,6.3,0.00219875149916937,0.000709278048048952,-0.0108339458610972,0.0218660517215894,0.0224165832667957,0.0224019647900231,0.00442000318675621,0.00377513339010527,0.00183180921602562,0.00128858298179653,0.0082630316633436,0.00549267545477768,0.00216595953613045,0.00458310672403132,0.00911879127722067,0.00613603723425141,0.00720016163380865,0.000322000572142193,0.00154985357063138,0.0027980783523787,0.0159580105106711,0.00642294499280242,0.988365284047314,0.4371492152949,0.977970698090374,-0.305080793824063,0.992552356755104,-0.868257799149734,0.983959026942713,0.965263040054359,-0.667686992352511,-0.540525158040313,-0.428586086542553,-0.467308131470654,0.986958581713701,0.843071922399365,-0.915699305555621,0.975202609660332,0.71770170180147,0.553801177483519,0.988515344301289,0.965301870300509,0.985451340696243
"370",372,1994-12-01,150.1,3482.7,7230,5.6,6.21,5.45,6103.4,73.8818,75.519,121.9,354.5,383.6,11.47,3319.6,1455,7.81,428489,135000,26967,643.7548,4.75,6.6,0.00222350973098373,0.000719220073708134,-0.0116264514213904,0.0230577182576994,0.0255924967487614,0.0260013330164568,0.00308373629679667,0.00416187840325362,0.00178620113111079,0.00149633337594583,0.00806717235743696,0.0050272802249615,0.00216208309151709,0.00210710737244183,0.00710140562061175,0.0059543282053088,0.00703703527687819,0.00287470297862299,0.000296163847931149,0.00318160582465299,0.0191471803907683,0.0115679890249283,0.988323287500285,0.51873745006105,0.980276463739531,-0.291439651931973,0.992904104928344,-0.888649744176496,0.983790452517399,0.962448150072585,-0.640550254766539,-0.506475456439037,-0.450520475819639,-0.505736527947843,0.98865227120772,0.828959007395018,-0.924264088404946,0.977140099258015,0.697723479627805,0.48885700867221,0.989824646506476,0.960467015254499,0.985446284859014
"371",373,1995-01-01,150.5,3488.2,7375,5.71,6.21,5.53,6149.2,74.0142,75.667,122.9,357.4,384.5,11.49,3346.9,1407,7.78,426222,127900,27056,654.3201,4.75,6.8,0.0021882514284769,0.00085562826085798,-0.00977512763766645,0.0268169472916587,0.0284140873343844,0.025205457672811,0.00434622670493782,0.00405955477785147,0.00176769135526544,0.00169526633776351,0.00810815810658294,0.00514944082116113,0.00208190790300905,0.00445660942393851,0.00628497577181678,0.00685361204824669,0.00696051576420239,0.00335683683829724,0.00126011679660798,0.00392617527172856,0.0191471803907683,0.00960515244215968,0.989931331301123,0.583292557279591,0.980480024114123,-0.291108495183043,0.994603594559284,-0.909410467008137,0.985538369874328,0.963239041347014,-0.589753199051944,-0.453390743671421,-0.449596509064567,-0.541808616739574,0.990120274644462,0.82852971731368,-0.915462476953547,0.983178935552769,0.654878447455526,0.420358711229066,0.992781076355402,0.959162402344545,0.987720651008198
"372",374,1995-02-01,150.9,3485.4,7187,5.77,6.03,5.92,6174.4,73.9247,75.795,123.5,358.5,383.5,11.52,3360.8,1316,7.47,422895,135000,27094,666.5337,5.25,7.3,0.00221140330047494,0.000880735613888609,-0.010211671256045,0.028236235728793,0.0281278937141662,0.0279072428906099,0.00430507962125796,0.00383067594834593,0.0017755401417157,0.00175718473408863,0.0079679760388387,0.00482079828720398,0.00215245242807958,0.0043201012554562,0.00349901972060318,0.00736311725136328,0.00676324809065358,0.00176526651548459,0.00121238262336506,0.00483716968096204,0.0233173244973093,0.0133403136498446,0.991741837720211,0.602314366714467,0.982477925845864,-0.31074396450576,0.99582218004058,-0.92019439585856,0.987710727176306,0.964494685751536,-0.560923775116799,-0.435613022563869,-0.426854110467854,-0.561558203980603,0.988833120301992,0.836283288628992,-0.915932378108681,0.988448537513655,0.543942962948799,0.347605174890083,0.994570783472702,0.958072560327415,0.989850523833789
"373",375,1995-03-01,151.2,3486.7,7153,5.73,5.89,5.98,6200.8,74.0284,75.931,123.9,362.2,381.4,11.55,3374,1249,7.2,427727,130000,27137,673.5851,5.25,6.8,0.00223596370463778,0.000929253816809158,-0.00982898634727417,0.0276629316822883,0.0274214336268406,0.0277809585984764,0.00451129927307596,0.0039300718210293,0.00176542087647287,0.00178647862581142,0.00808736891369207,0.00438516636261136,0.00207081952301138,0.00464326487172761,0.00594201096352446,0.00773585241914455,0.00686857016807552,0.00163419638138677,0.00145616158714423,0.00543032118758224,0.0233173244973093,0.00960515244215968,0.993144544828811,0.617423313642603,0.985507111563131,-0.322606916119409,0.996455590016998,-0.940188509937908,0.989973362997103,0.965164827914767,-0.518505804966779,-0.401962004387453,-0.376789091542504,-0.571627214455065,0.985286304512322,0.848208647651152,-0.923454236938182,0.991078784819241,0.407293988519216,0.272447306306658,0.995542681174075,0.956298298377275,0.991296347396425
"374",376,1995-04-01,151.8,3494.7,7645,5.65,5.77,6.05,6221.9,74.014,76.128,124.6,365.5,380.2,11.56,3391.2,1267,7.06,433540,134000,26904,677.6819,5.25,6.7,0.00225585081977431,0.00102963384820898,-0.00730503632878499,0.0282226464744508,0.0276712553210583,0.0297862084877825,0.00424895858008075,0.00380263898727358,0.00176132546290882,0.00181113655206178,0.00808983393503993,0.00357967007756669,0.0021068789511959,0.0042384883281393,0.000297030960864716,0.00698742183752666,0.00673319658205525,0.0022355297288467,0.000947669116284337,0.0060771818167065,0.0233173244973093,0.0147727090700378,0.994144161543214,0.62173474266255,0.986520787395914,-0.327316343493163,0.996664834275068,-0.958878302925775,0.991860497848427,0.966158667958052,-0.484416087892046,-0.36736987594954,-0.321839487632807,-0.581867224908771,0.980500477159424,0.855418685963269,-0.921973983824376,0.992767352359564,0.256568289456723,0.158335248638675,0.995475619894836,0.955081619200744,0.992099040417607
